csv_path,reynolds,angle,mean_last10pct_C_L
naca0012/re1000000/re1000000_alpha-015.50.csv,1000000,-015.50,-1.35624543e+00
naca0012/re1000000/re1000000_alpha+015.75.csv,1000000,+015.75,1.38767991e+00
naca0012/re1000000/re1000000_alpha-015.75.csv,1000000,-015.75,-1.36159325e+00
naca0012/re1000000/re1000000_alpha+016.00.csv,1000000,+016.00,1.35417972e+00
naca0012/re1000000/re1000000_alpha-016.00.csv,1000000,-016.00,-1.37425498e+00
naca0012/re1000000/re1000000_alpha+016.25.csv,1000000,+016.25,1.34341676e+00
naca0012/re1000000/re1000000_alpha-016.25.csv,1000000,-016.25,-1.34364468e+00
naca0012/re1000000/re1000000_alpha+016.50.csv,1000000,+016.50,1.33822704e+00
naca0012/re1000000/re1000000_alpha-016.50.csv,1000000,-016.50,-1.33476305e+00
naca0012/re1000000/re1000000_alpha+016.75.csv,1000000,+016.75,1.35460053e+00
naca0012/re1000000/re1000000_alpha-016.75.csv,1000000,-016.75,-1.30460651e+00
naca0012/re1000000/re1000000_alpha+017.00.csv,1000000,+017.00,1.32867324e+00
naca0012/re1000000/re1000000_alpha-017.00.csv,1000000,-017.00,-1.33854604e+00
naca0012/re1000000/re1000000_alpha+017.25.csv,1000000,+017.25,1.30452383e+00
naca0012/re1000000/re1000000_alpha-017.25.csv,1000000,-017.25,-1.31773042e+00
naca0012/re1000000/re1000000_alpha+017.50.csv,1000000,+017.50,1.26793085e+00
naca0012/re1000000/re1000000_alpha-017.50.csv,1000000,-017.50,-1.27065953e+00
naca0012/re1000000/re1000000_alpha+017.75.csv,1000000,+017.75,1.28206412e+00
naca0012/re1000000/re1000000_alpha-017.75.csv,1000000,-017.75,-1.23526717e+00
naca0012/re1000000/re1000000_alpha+018.00.csv,1000000,+018.00,1.22195614e+00
naca0012/re1000000/re1000000_alpha-018.00.csv,1000000,-018.00,-1.26297365e+00
naca0012/re1000000/re1000000_alpha+018.25.csv,1000000,+018.25,1.20725086e+00
naca0012/re1000000/re1000000_alpha-018.25.csv,1000000,-018.25,-1.19659213e+00
naca0012/re1000000/re1000000_alpha+018.50.csv,1000000,+018.50,1.23757992e+00
naca0012/re1000000/re1000000_alpha-018.50.csv,1000000,-018.50,-1.19123447e+00
naca0012/re100000/re100000_alpha+000.00.csv,100000,+000.00,0.00000000e+00
naca0012/re100000/re100000_alpha+000.25.csv,100000,+000.25,6.57094719e-02
naca0012/re100000/re100000_alpha-000.25.csv,100000,-000.25,-6.45517700e-02
naca0012/re100000/re100000_alpha+000.50.csv,100000,+000.50,1.31976069e-01
naca0012/re100000/re100000_alpha-000.50.csv,100000,-000.50,-1.29154124e-01
naca0012/re100000/re100000_alpha+000.75.csv,100000,+000.75,1.98749136e-01
naca0012/re100000/re100000_alpha-000.75.csv,100000,-000.75,-2.04500174e-01
naca0012/re100000/re100000_alpha+001.00.csv,100000,+001.00,2.49910540e-01
naca0012/re100000/re100000_alpha-001.00.csv,100000,-001.00,-2.56934666e-01
naca0012/re100000/re100000_alpha+001.25.csv,100000,+001.25,2.93601372e-01
naca0012/re100000/re100000_alpha-001.25.csv,100000,-001.25,-2.94510601e-01
naca0012/re100000/re100000_alpha+001.50.csv,100000,+001.50,3.27999499e-01
naca0012/re100000/re100000_alpha-001.50.csv,100000,-001.50,-3.20607620e-01
naca0012/re100000/re100000_alpha+001.75.csv,100000,+001.75,3.56789748e-01
naca0012/re100000/re100000_alpha-001.75.csv,100000,-001.75,-3.43928712e-01
naca0012/re100000/re100000_alpha+002.00.csv,100000,+002.00,3.62130252e-01
naca0012/re100000/re100000_alpha-002.00.csv,100000,-002.00,-3.60683205e-01
naca0012/re100000/re100000_alpha+002.25.csv,100000,+002.25,3.95026823e-01
naca0012/re100000/re100000_alpha-002.25.csv,100000,-002.25,-3.89673103e-01
naca0012/re100000/re100000_alpha+002.50.csv,100000,+002.50,4.14369068e-01
naca0012/re100000/re100000_alpha-002.50.csv,100000,-002.50,-4.11277290e-01
